Date,10 Yr,10YrReturns
1990-01-31,0.0843,-0.0257020319307395
1990-02-28,0.0851,0.0015466543034441393
1990-03-31,0.08650000000000001,-0.0022506992083957122
1990-04-30,0.0904,-0.01792758201013034
1990-05-31,0.086,0.03583881214990936
1990-06-30,0.0843,0.018032233790467256
1990-07-31,0.0836,0.011365928354063026
1990-08-31,0.0886,-0.025416740853938302
1990-09-30,0.0882,0.009674429561969733
1990-10-31,0.08650000000000001,0.01809440682190555
1990-11-30,0.08259999999999999,0.032672528850452354
1990-12-31,0.0808,0.018608998517176012
1991-01-31,0.0803,0.009829465114459035
1991-02-28,0.0802,0.007124287235022786
1991-03-31,0.0805,0.004451357218538288
1991-04-30,0.0802,0.008473741342543528
1991-05-31,0.0806,0.003786481280023013
1991-06-30,0.0824,-0.005407367452664014
1991-07-31,0.08199999999999999,0.009266727105033512
1991-08-31,0.0782,0.03216257159844016
1991-09-30,0.0747,0.030223607816464826
1991-10-31,0.0747,0.006021519637730455
1991-11-30,0.0738,0.012199918196794446
1991-12-31,0.06709999999999999,0.05338091095963682
1992-01-31,0.0731,-0.035892528891856346
1992-02-29,0.0727,0.008656346531684012
1992-03-31,0.0754,-0.012535511057693127
1992-04-30,0.0761,0.0013205397971853827
1992-05-31,0.0733,0.025396269613175537
1992-06-30,0.07139999999999999,0.019099021378990555
1992-07-31,0.0672,0.03548165540548154
1992-08-31,0.0662,0.012542957292152046
1992-09-30,0.0637,0.02333459236101465
1992-10-31,0.068,-0.02515280797055852
1992-11-30,0.0695,-0.005004082155594225
1992-12-31,0.067,0.02332042200664164
1993-01-31,0.0639,0.02769159797237508
1993-02-28,0.0603,0.03147935744759445
1993-03-31,0.0603,0.004891247198025583
1993-04-30,0.0605,0.003431298706549235
1993-05-31,0.0616,-0.003081340682037581
1993-06-30,0.057999999999999996,0.03158458731456837
1993-07-31,0.0583,0.002496698414232945
1993-08-31,0.0545,0.033271067960517486
1993-09-30,0.054000000000000006,0.008195912067175293
1993-10-31,0.054299999999999994,0.002137223090133089
1993-11-30,0.0583,-0.02508624653592184
1993-12-31,0.0583,0.004733153410191315
1994-01-31,0.057,0.014380774656654216
1994-02-28,0.061500000000000006,-0.02806428187876353
1994-03-31,0.0677,-0.038780065278819276
1994-04-30,0.0706,-0.014726689446622698
1994-05-31,0.0717,-0.0019227573474871473
1994-06-30,0.07339999999999999,-0.005904204002897595
1994-07-31,0.0712,0.02120294231569475
1994-08-31,0.0719,0.0009009398697839011
1994-09-30,0.0762,-0.023396236788785774
1994-10-31,0.0781,-0.006653614388076101
1994-11-30,0.0791,-0.0004161714713892817
1994-12-31,0.0784,0.011070690724977128
1995-01-31,0.076,0.022622118535148283
1995-02-28,0.0722,0.0324005143556898
1995-03-31,0.07200000000000001,0.007210563822416471
1995-04-30,0.0707,0.01486209715741893
1995-05-31,0.063,0.06126524087142937
1995-06-30,0.0621,0.011624978933432839
1995-07-31,0.0645,-0.012161591914551906
1995-08-31,0.06280000000000001,0.017499138315730134
1995-09-30,0.0617,0.01307320657380684
1995-10-31,0.0603,0.015231067850636215
1995-11-30,0.0576,0.02487194106403323
1995-12-31,0.0558,0.01811226123497578
1996-01-31,0.055999999999999994,0.003043858278487077
1996-02-29,0.0613,-0.03399182587328642
1996-03-31,0.0634,-0.010152591190564442
1996-04-30,0.0666,-0.017568540778157615
1996-05-31,0.06849999999999999,-0.007975640767865277
1996-06-30,0.0673,0.014023382308859134
1996-07-31,0.068,0.0005078037017873793
1996-08-31,0.0696,-0.005699031879682903
1996-09-30,0.0672,0.022604337543673303
1996-10-31,0.0637,0.03060467716301951
1996-11-30,0.060599999999999994,0.027778311371359887
1996-12-31,0.0643,-0.02161834946592822
1997-01-31,0.0653,-0.0019314013650989503
1997-02-28,0.06559999999999999,0.003146853652462589
1997-03-31,0.0692,-0.019929100065246397
1997-04-30,0.0672,0.019742711352160658
1997-05-31,0.0667,0.008980548894651053
1997-06-30,0.06509999999999999,0.016826890247942927
1997-07-31,0.0602,0.041089575792419675
1997-08-31,0.0634,-0.018160771572042655
1997-09-30,0.061200000000000004,0.02114272662786787
1997-10-31,0.0584,0.025604881491519293
1997-11-30,0.058600000000000006,0.0032680055187828128
1997-12-31,0.0575,0.012900957410588276
1998-01-31,0.0553,0.021128879717241533
1998-02-28,0.0562,-0.0022089290852467247
1998-03-31,0.0567,0.0008509906889229146
1998-04-30,0.056799999999999996,0.003863657874534576
1998-05-31,0.0556,0.013579228198575155
1998-06-30,0.054400000000000004,0.013535452507905443
1998-07-31,0.055,-7.110017606271057e-05
1998-08-31,0.050499999999999996,0.03892015309027519
1998-09-30,0.0444,0.05221263736561621
1998-10-31,0.0464,-0.011989787134734198
1998-11-30,0.047400000000000005,-0.003983708336268821
1998-12-31,0.04650000000000001,0.010890827871152364
1999-01-31,0.0466,0.003014711056282371
1999-02-28,0.0529,-0.043870620767920476
1999-03-31,0.0525,0.007337703559056941
1999-04-30,0.0536,-0.004023198227539493
1999-05-31,0.0564,-0.016477706096421074
1999-06-30,0.0581,-0.00796778392822628
1999-07-31,0.0592,-0.0033615848591987962
1999-08-31,0.059800000000000006,0.00041006382844499534
1999-09-30,0.059000000000000004,0.010732913143258083
1999-10-31,0.0602,-0.003983482046939768
1999-11-30,0.061799999999999994,-0.0067252169176608145
1999-12-31,0.0645,-0.014334585444387593
2000-01-31,0.0668,-0.011081342686810935
2000-02-29,0.0642,0.024057413396200822
2000-03-31,0.0603,0.03369503330172474
2000-04-30,0.0623,-0.009585543213604497
